2017-10-30: ancient apparition, bane, huskar, legion commander, lich, magnataur, obsidian destroyer, riki, sand king, spirit breaker
2020-07-12: arc warden, elder titan, magnataur, meepo, slardar, tidehunter, troll warlord, undying, ursa, visage
2020-07-13: batrider, clinkz, dark seer, invoker, kunkka, meepo, omniknight, rattletrap, venomancer, visage
2020-07-14: abyssal underlord, batrider, brewmaster, ember spirit, leshrac, obsidian destroyer, shadow demon, silencer, sniper, terrorblade
2020-07-15: disruptor, furion, keeper of the light, life stealer, meepo, omniknight, pudge, skywrath mage, viper, winter wyvern
2020-07-16: batrider, beastmaster, dragon knight, legion commander, lone druid, monkey king, puck, slark, terrorblade, weaver
2020-07-17: bane, death prophet, earthshaker, lina, pangolier, shadow demon, silencer, tiny, treant, witch doctor
2020-07-18: bounty hunter, faceless void, invoker, juggernaut, phantom lancer, spirit breaker, tiny, winter wyvern, witch doctor, zuus
2020-07-19: abyssal underlord, arc warden, disruptor, elder titan, kunkka, naga siren, skywrath mage, storm spirit, terrorblade, tidehunter
2020-07-20: bane, gyrocopter, keeper of the light, mirana, naga siren, ogre magi, silencer, skywrath mage, ursa, zuus
2020-07-21: earth spirit, earthshaker, lich, luna, morphling, phoenix, pudge, slardar, templar assassin, zuus
2020-07-22: arc warden, earth spirit, ember spirit, leshrac, lina, lone druid, night stalker, omniknight, pangolier, templar assassin
2020-07-23: broodmother, lion, magnataur, medusa, obsidian destroyer, rattletrap, skywrath mage, sniper, sven, windrunner
2020-07-24: brewmaster, crystal maiden, doom bringer, lone druid, necrolyte, rubick, spirit breaker, venomancer, visage, weaver
2020-07-25: bane, beastmaster, ember spirit, obsidian destroyer, ogre magi, oracle, puck, queenofpain, shadow demon, wisp
2020-07-26: beastmaster, chaos knight, doom bringer, earth spirit, faceless void, legion commander, lina, obsidian destroyer, pudge, skywrath mage
2020-07-27: axe, clinkz, enchantress, keeper of the light, monkey king, rubick, shadow demon, skeleton king, slark, templar assassin
2020-07-28: chen, enchantress, keeper of the light, luna, monkey king, morphling, phoenix, spirit breaker, templar assassin, tinker
2020-07-29: bloodseeker, chen, juggernaut, lycan, pangolier, skywrath mage, slark, sniper, visage, winter wyvern
2020-07-30: arc warden, bloodseeker, brewmaster, clinkz, drow ranger, lone druid, riki, spirit breaker, tusk, winter wyvern
2020-07-31: brewmaster, dragon knight, huskar, morphling, necrolyte, obsidian destroyer, omniknight, puck, queenofpain, slardar
2020-08-01: bloodseeker, chen, leshrac, obsidian destroyer, phantom assassin, puck, shredder, sniper, treant, zuus
2020-08-02: centaur, faceless void, jakiro, mirana, nyx assassin, obsidian destroyer, pudge, skeleton king, treant, witch doctor
2020-08-03: brewmaster, chen, crystal maiden, earth spirit, elder titan, juggernaut, legion commander, medusa, meepo, storm spirit
2020-08-04: ancient apparition, arc warden, keeper of the light, lina, meepo, rattletrap, shredder, storm spirit, terrorblade, venomancer
2020-08-05: ancient apparition, death prophet, elder titan, legion commander, leshrac, queenofpain, sniper, sven, tinker, winter wyvern
2020-08-06: antimage, disruptor, doom bringer, drow ranger, lycan, razor, terrorblade, undying, viper, weaver
2020-08-07: clinkz, death prophet, dragon knight, juggernaut, phantom lancer, shadow demon, slardar, tidehunter, ursa, warlock
2020-08-08: furion, lina, monkey king, obsidian destroyer, omniknight, phantom lancer, razor, riki, skeleton king, venomancer
2020-08-09: ancient apparition, kunkka, lion, oracle, phoenix, shredder, skeleton king, techies, windrunner, zuus
2020-08-10: antimage, lich, meepo, phantom assassin, phantom lancer, razor, shadow demon, sniper, techies, tusk
2020-08-11: beastmaster, dark seer, enigma, night stalker, pangolier, queenofpain, shadow shaman, storm spirit, vengefulspirit, visage
2020-08-12: arc warden, broodmother, clinkz, drow ranger, ember spirit, nevermore, pugna, sven, tiny, zuus
2020-08-13: disruptor, life stealer, medusa, skywrath mage, slardar, spectre, storm spirit, sven, terrorblade, troll warlord
2020-08-14: drow ranger, lion, luna, medusa, nevermore, pudge, slardar, templar assassin, warlock, zuus
2020-08-15: bloodseeker, invoker, legion commander, medusa, ogre magi, omniknight, queenofpain, storm spirit, terrorblade, vengefulspirit
2020-08-16: abyssal underlord, beastmaster, death prophet, earth spirit, lycan, nyx assassin, queenofpain, sniper, spectre, tinker
2020-08-17: earthshaker, enchantress, luna, magnataur, puck, storm spirit, techies, tidehunter, venomancer, windrunner
2020-08-18: abaddon, alchemist, centaur, disruptor, juggernaut, keeper of the light, nyx assassin, rattletrap, venomancer, witch doctor
2020-08-19: axe, chen, doom bringer, mirana, pangolier, queenofpain, skywrath mage, tinker, treant, weaver
2020-08-20: chaos knight, dragon knight, huskar, kunkka, legion commander, oracle, queenofpain, shadow demon, slark, spirit breaker
2020-08-21: abyssal underlord, bane, chaos knight, jakiro, keeper of the light, lion, lycan, shredder, terrorblade, windrunner
2020-08-22: bristleback, death prophet, ember spirit, lich, lone druid, nevermore, silencer, skeleton king, sniper, spirit breaker
2020-08-23: ancient apparition, bloodseeker, drow ranger, earthshaker, furion, keeper of the light, lycan, night stalker, sand king, tidehunter
2020-08-24: centaur, doom bringer, earthshaker, keeper of the light, monkey king, omniknight, shadow shaman, spectre, spirit breaker, troll warlord
2020-08-25: bounty hunter, centaur, lycan, necrolyte, night stalker, omniknight, phoenix, shredder, techies, windrunner
2020-08-26: chen, crystal maiden, earthshaker, ember spirit, juggernaut, morphling, phantom assassin, razor, riki, shredder
2020-08-27: chaos knight, earth spirit, lion, morphling, necrolyte, phantom assassin, puck, rattletrap, shredder, vengefulspirit
2020-08-28: ancient apparition, beastmaster, doom bringer, leshrac, lycan, queenofpain, rattletrap, razor, shadow shaman, shredder
2020-08-29: arc warden, broodmother, centaur, drow ranger, ember spirit, faceless void, life stealer, nevermore, phantom lancer, undying
2020-08-30: alchemist, ancient apparition, dragon knight, drow ranger, earth spirit, luna, pangolier, rattletrap, treant, warlock
2020-08-31: arc warden, bristleback, chen, lycan, mirana, queenofpain, troll warlord, viper, warlock, winter wyvern
2020-09-01: bounty hunter, disruptor, doom bringer, earthshaker, gyrocopter, huskar, magnataur, nyx assassin, undying, winter wyvern
2020-09-02: alchemist, brewmaster, chen, earthshaker, lina, riki, sven, terrorblade, warlock, weaver
2020-09-03: abaddon, dark willow, earthshaker, enigma, medusa, mirana, phantom lancer, spirit breaker, tidehunter, venomancer
2020-09-04: abaddon, broodmother, disruptor, jakiro, oracle, phoenix, skywrath mage, storm spirit, templar assassin, tusk
2020-09-05: abyssal underlord, beastmaster, chen, death prophet, juggernaut, luna, lycan, omniknight, riki, shredder
2020-09-06: broodmother, doom bringer, enigma, juggernaut, leshrac, pudge, sand king, slardar, spectre, vengefulspirit
2020-09-07: bristleback, broodmother, dark willow, drow ranger, enigma, invoker, lina, shredder, skywrath mage, wisp
2020-09-08: alchemist, beastmaster, bloodseeker, earthshaker, keeper of the light, night stalker, rattletrap, shredder, silencer, troll warlord
2020-09-09: death prophet, enchantress, jakiro, night stalker, pangolier, troll warlord, tusk, viper, visage, warlock
2020-09-10: ancient apparition, arc warden, bane, jakiro, magnataur, morphling, ogre magi, pudge, riki, weaver
2020-09-11: crystal maiden, kunkka, naga siren, night stalker, ogre magi, shadow demon, shadow shaman, sniper, venomancer, witch doctor
2020-09-12: huskar, invoker, luna, nyx assassin, pangolier, sand king, shadow demon, shadow shaman, sniper, spectre
2020-09-13: abyssal underlord, batrider, dazzle, huskar, naga siren, ogre magi, silencer, undying, visage, warlock
2020-09-14: bloodseeker, dark seer, jakiro, legion commander, lycan, medusa, ogre magi, phantom assassin, razor, venomancer
2020-09-15: antimage, dragon knight, elder titan, monkey king, nyx assassin, oracle, pudge, techies, visage, warlock
2020-09-16: batrider, juggernaut, kunkka, life stealer, magnataur, nyx assassin, shadow shaman, spectre, sven, winter wyvern
2020-09-17: batrider, bounty hunter, lina, lion, nyx assassin, razor, skeleton king, skywrath mage, tiny, vengefulspirit
2020-09-18: axe, bristleback, huskar, meepo, obsidian destroyer, rattletrap, spirit breaker, undying, visage, wisp
2020-09-19: alchemist, bloodseeker, lich, lion, lone druid, luna, lycan, nevermore, tusk, undying
2020-09-20: ancient apparition, chen, clinkz, crystal maiden, elder titan, juggernaut, phantom lancer, puck, skywrath mage, tidehunter
2020-09-21: abyssal underlord, brewmaster, ember spirit, leshrac, lina, omniknight, pudge, venomancer, windrunner, wisp
2020-09-22: batrider, dragon knight, enchantress, keeper of the light, lion, riki, rubick, sniper, treant, troll warlord
2020-09-23: dark seer, dragon knight, earthshaker, kunkka, necrolyte, nyx assassin, phantom assassin, shadow demon, skeleton king, troll warlord
2020-09-24: abaddon, batrider, earth spirit, jakiro, riki, rubick, storm spirit, techies, terrorblade, undying
2020-09-25: axe, bounty hunter, death prophet, luna, night stalker, terrorblade, tinker, treant, vengefulspirit, visage
2020-09-26: abyssal underlord, bloodseeker, broodmother, chaos knight, nevermore, shadow shaman, tusk, viper, visage, weaver
2020-09-27: ancient apparition, antimage, bloodseeker, chen, crystal maiden, meepo, nevermore, oracle, pudge, undying
2020-09-28: abaddon, centaur, crystal maiden, legion commander, shadow shaman, shredder, slardar, terrorblade, ursa, weaver
2020-09-29: dark seer, furion, keeper of the light, medusa, nevermore, nyx assassin, oracle, phoenix, weaver, zuus
2020-09-30: abyssal underlord, broodmother, faceless void, jakiro, nevermore, silencer, spirit breaker, troll warlord, warlock, witch doctor
2020-10-01: antimage, centaur, crystal maiden, dazzle, legion commander, morphling, ogre magi, rubick, terrorblade, wisp
2020-10-02: arc warden, centaur, chaos knight, nyx assassin, oracle, skeleton king, skywrath mage, tusk, weaver, witch doctor
2020-10-03: batrider, broodmother, dark seer, enchantress, luna, omniknight, phantom assassin, storm spirit, venomancer, winter wyvern
2020-10-04: arc warden, life stealer, lycan, mirana, necrolyte, phoenix, sand king, templar assassin, venomancer, visage
2020-10-05: alchemist, centaur, chen, doom bringer, leshrac, mirana, omniknight, sven, windrunner, zuus
2020-10-06: bounty hunter, death prophet, disruptor, elder titan, legion commander, leshrac, luna, queenofpain, shredder, windrunner
2020-10-07: dark seer, enigma, lone druid, phantom lancer, puck, pugna, shredder, slark, tusk, venomancer
2020-10-08: abaddon, arc warden, luna, meepo, morphling, night stalker, spectre, sven, visage, windrunner
2020-10-09: brewmaster, centaur, dragon knight, furion, meepo, nevermore, nyx assassin, obsidian destroyer, skeleton king, zuus
2020-10-10: alchemist, bloodseeker, disruptor, earthshaker, lina, lone druid, mirana, nyx assassin, spirit breaker, warlock
2020-10-11: crystal maiden, disruptor, enchantress, lion, nevermore, queenofpain, riki, slark, tinker, vengefulspirit
2020-10-12: dragon knight, lion, lone druid, luna, magnataur, naga siren, ogre magi, shadow shaman, tidehunter, tinker
2020-10-13: jakiro, lone druid, monkey king, phantom assassin, phoenix, rattletrap, rubick, undying, ursa, visage
2020-10-14: bloodseeker, broodmother, dark willow, doom bringer, phantom assassin, phoenix, pudge, rattletrap, skeleton king, templar assassin
2020-10-15: alchemist, chen, jakiro, keeper of the light, life stealer, ogre magi, oracle, sand king, shadow shaman, techies
2020-10-16: abyssal underlord, beastmaster, huskar, juggernaut, keeper of the light, nyx assassin, sand king, shredder, sniper, storm spirit
2020-10-17: axe, bane, bristleback, crystal maiden, jakiro, necrolyte, oracle, puck, techies, terrorblade
2020-10-18: dark seer, dark willow, dazzle, doom bringer, enchantress, lich, riki, silencer, warlock, wisp
2020-10-19: beastmaster, enigma, faceless void, furion, lycan, monkey king, night stalker, pugna, queenofpain, shadow demon
2020-10-20: ancient apparition, axe, clinkz, dark willow, earthshaker, ember spirit, faceless void, huskar, obsidian destroyer, windrunner
2020-10-21: ancient apparition, antimage, arc warden, naga siren, oracle, pangolier, slark, spirit breaker, treant, windrunner
2020-10-22: centaur, chen, enchantress, meepo, rubick, slardar, ursa, vengefulspirit, visage, warlock
2020-10-23: bounty hunter, elder titan, gyrocopter, lone druid, lycan, medusa, nevermore, vengefulspirit, venomancer, visage
2020-10-24: alchemist, brewmaster, drow ranger, meepo, phantom lancer, phoenix, puck, pugna, skywrath mage, slark
2020-10-25: brewmaster, lone druid, lycan, nevermore, nyx assassin, pugna, rubick, shredder, spectre, troll warlord
2020-10-26: abaddon, brewmaster, invoker, jakiro, legion commander, magnataur, phoenix, sand king, troll warlord, visage
2020-10-27: broodmother, earth spirit, furion, morphling, shadow demon, tinker, tusk, venomancer, viper, witch doctor
2020-10-28: ancient apparition, axe, ogre magi, puck, pugna, rattletrap, skeleton king, slardar, venomancer, weaver
2020-10-29: abaddon, crystal maiden, earthshaker, gyrocopter, kunkka, phantom lancer, puck, slardar, undying, visage
2020-10-30: dark willow, gyrocopter, keeper of the light, life stealer, luna, night stalker, oracle, skeleton king, skywrath mage, warlock
2020-10-31: alchemist, antimage, bane, bristleback, broodmother, enchantress, naga siren, night stalker, skywrath mage, vengefulspirit
2020-11-01: bane, batrider, bristleback, disruptor, earth spirit, gyrocopter, lone druid, slark, spectre, ursa
2020-11-02: antimage, invoker, keeper of the light, lion, morphling, phantom lancer, pugna, queenofpain, rattletrap, skywrath mage
2020-11-03: batrider, beastmaster, brewmaster, doom bringer, earthshaker, faceless void, nyx assassin, sven, tinker, wisp
2020-11-04: bounty hunter, dark willow, elder titan, legion commander, leshrac, lion, medusa, morphling, pugna, slardar
2020-11-05: ancient apparition, bristleback, dark willow, drow ranger, invoker, luna, nevermore, omniknight, tusk, vengefulspirit
2020-11-06: axe, enchantress, keeper of the light, kunkka, leshrac, lycan, puck, sand king, tinker, tusk
2020-11-07: death prophet, enchantress, jakiro, kunkka, legion commander, lycan, razor, terrorblade, treant, winter wyvern
2020-11-08: abyssal underlord, clinkz, dark seer, lich, meepo, phantom lancer, ursa, windrunner, wisp, zuus
2020-11-09: clinkz, disruptor, drow ranger, earthshaker, enigma, faceless void, lina, ogre magi, rubick, slardar
2020-11-10: abaddon, centaur, chaos knight, dark seer, earthshaker, enigma, jakiro, nyx assassin, omniknight, sand king
2020-11-11: antimage, centaur, jakiro, life stealer, magnataur, pugna, sven, terrorblade, tidehunter, winter wyvern
2020-11-12: abaddon, doom bringer, keeper of the light, lion, pugna, shadow demon, slark, storm spirit, tinker, witch doctor
2020-11-13: beastmaster, gyrocopter, lina, luna, lycan, meepo, naga siren, omniknight, queenofpain, techies
2020-11-14: axe, bloodseeker, chen, doom bringer, lich, necrolyte, ogre magi, razor, ursa, witch doctor
2020-11-15: bane, dark willow, juggernaut, lich, lion, pugna, shadow shaman, slark, spectre, vengefulspirit
2020-11-16: centaur, chen, doom bringer, enigma, lone druid, puck, riki, skeleton king, spirit breaker, wisp
2020-11-17: ancient apparition, antimage, bristleback, dazzle, faceless void, furion, jakiro, tiny, tusk, viper
2020-11-18: chaos knight, dark seer, invoker, juggernaut, nyx assassin, rattletrap, rubick, sand king, silencer, visage
2020-11-19: brewmaster, bristleback, centaur, death prophet, lion, lycan, magnataur, mirana, treant, venomancer
2020-11-20: bloodseeker, broodmother, dragon knight, nevermore, night stalker, nyx assassin, ogre magi, phantom lancer, rattletrap, undying
2020-11-21: bane, dragon knight, monkey king, necrolyte, nyx assassin, rattletrap, shredder, tinker, undying, windrunner
2020-11-22: crystal maiden, dragon knight, enigma, faceless void, magnataur, oracle, rubick, sniper, spirit breaker, tinker
2020-11-23: beastmaster, broodmother, crystal maiden, dark seer, doom bringer, enchantress, gyrocopter, lich, monkey king, tusk
2020-11-24: death prophet, mirana, slardar, treant, undying, viper, weaver, winter wyvern, wisp, zuus
2020-11-25: bane, elder titan, leshrac, naga siren, night stalker, omniknight, phoenix, spirit breaker, undying, winter wyvern
2020-11-26: chaos knight, crystal maiden, death prophet, kunkka, legion commander, life stealer, omniknight, pudge, troll warlord, warlock
2020-11-27: chaos knight, chen, dazzle, elder titan, enigma, omniknight, queenofpain, tusk, viper, weaver
2020-11-28: antimage, beastmaster, bristleback, centaur, ember spirit, leshrac, morphling, techies, templar assassin, tusk
2020-11-29: crystal maiden, dragon knight, enchantress, lina, meepo, morphling, pangolier, phoenix, spirit breaker, winter wyvern
2020-11-30: ancient apparition, bloodseeker, huskar, lone druid, monkey king, pangolier, pudge, skeleton king, undying, venomancer
2020-12-01: alchemist, batrider, bloodseeker, dragon knight, lone druid, medusa, razor, riki, sand king, terrorblade
2020-12-02: bloodseeker, dragon knight, elder titan, juggernaut, keeper of the light, kunkka, sniper, treant, troll warlord, undying
2020-12-03: axe, bounty hunter, crystal maiden, gyrocopter, nevermore, phantom assassin, pugna, spectre, sven, warlock
2020-12-04: earth spirit, enchantress, legion commander, meepo, morphling, naga siren, techies, tiny, ursa, wisp
2020-12-05: axe, beastmaster, doom bringer, juggernaut, lich, lina, nevermore, pangolier, tiny, venomancer
2020-12-06: abyssal underlord, alchemist, axe, ember spirit, leshrac, mirana, pugna, razor, skywrath mage, slark
2020-12-07: abyssal underlord, beastmaster, bristleback, jakiro, lycan, silencer, spirit breaker, troll warlord, viper, warlock
2020-12-08: chaos knight, clinkz, invoker, jakiro, legion commander, lina, pudge, shadow demon, tidehunter, weaver
2020-12-09: abaddon, alchemist, ember spirit, enigma, jakiro, juggernaut, lone druid, templar assassin, viper, windrunner
2020-12-10: ancient apparition, broodmother, centaur, chaos knight, death prophet, monkey king, shredder, slark, sniper, techies
2020-12-11: dark seer, doom bringer, keeper of the light, morphling, phoenix, sand king, storm spirit, techies, tidehunter, tinker
2020-12-12: broodmother, drow ranger, lich, night stalker, phoenix, razor, riki, tusk, windrunner, winter wyvern
2020-12-13: antimage, earthshaker, elder titan, juggernaut, lich, naga siren, ogre magi, sniper, spirit breaker, troll warlord
2020-12-14: crystal maiden, dark willow, doom bringer, huskar, leshrac, lone druid, morphling, spirit breaker, techies, witch doctor
2020-12-15: alchemist, bane, brewmaster, necrolyte, omniknight, phantom assassin, slardar, terrorblade, tidehunter, treant
2020-12-16: alchemist, enchantress, furion, lina, magnataur, ogre magi, phoenix, puck, warlock, weaver
2020-12-17: abyssal underlord, ancient apparition, bounty hunter, drow ranger, enigma, faceless void, gyrocopter, nyx assassin, visage, winter wyvern
2020-12-18: dazzle, gyrocopter, leshrac, lycan, magnataur, monkey king, morphling, obsidian destroyer, rubick, terrorblade
2020-12-19: bounty hunter, broodmother, crystal maiden, earth spirit, nyx assassin, phantom lancer, queenofpain, rattletrap, spirit breaker, wisp
2020-12-20: dragon knight, earth spirit, earthshaker, magnataur, riki, skywrath mage, storm spirit, sven, tusk, witch doctor
2020-12-21: antimage, arc warden, chen, doom bringer, jakiro, lich, phoenix, pugna, tiny, zuus
2020-12-22: arc warden, bristleback, chen, earth spirit, gyrocopter, lina, slark, spectre, templar assassin, zuus
2020-12-23: earthshaker, legion commander, medusa, phantom lancer, pugna, sand king, skeleton king, spectre, tinker, ursa
2020-12-24: abyssal underlord, clinkz, keeper of the light, leshrac, lycan, meepo, rubick, shadow demon, visage, zuus
2020-12-25: clinkz, crystal maiden, drow ranger, nevermore, puck, pugna, storm spirit, sven, venomancer, witch doctor
2020-12-26: dark willow, disruptor, elder titan, furion, leshrac, lone druid, luna, night stalker, venomancer, visage
2020-12-27: elder titan, enchantress, gyrocopter, huskar, oracle, razor, slardar, spectre, venomancer, winter wyvern
2020-12-28: axe, dark seer, enchantress, enigma, keeper of the light, legion commander, life stealer, luna, monkey king, obsidian destroyer
2020-12-29: bane, bloodseeker, bounty hunter, doom bringer, enchantress, mirana, pangolier, terrorblade, windrunner, wisp
2020-12-30: abaddon, antimage, chen, keeper of the light, life stealer, monkey king, nevermore, night stalker, phantom assassin, storm spirit
2020-12-31: bane, batrider, bounty hunter, clinkz, gyrocopter, jakiro, legion commander, shadow shaman, techies, weaver
2021-01-01: alchemist, juggernaut, legion commander, lina, spectre, tidehunter, warlock, weaver, winter wyvern, wisp
2021-01-02: earth spirit, keeper of the light, lina, lion, pugna, slardar, terrorblade, tinker, tusk, witch doctor
2021-01-03: beastmaster, life stealer, obsidian destroyer, pangolier, phantom assassin, skywrath mage, sniper, sven, templar assassin, terrorblade
2021-01-04: alchemist, arc warden, bristleback, centaur, crystal maiden, doom bringer, monkey king, necrolyte, spectre, storm spirit
2021-01-05: ancient apparition, crystal maiden, gyrocopter, jakiro, lina, lion, naga siren, razor, storm spirit, wisp
2021-01-06: axe, gyrocopter, lich, necrolyte, nevermore, nyx assassin, shadow demon, undying, viper, zuus
2021-01-07: abaddon, abyssal underlord, brewmaster, invoker, leshrac, omniknight, sven, treant, windrunner, zuus
2021-01-08: chaos knight, crystal maiden, kunkka, lion, night stalker, puck, rattletrap, spectre, vengefulspirit, windrunner
2021-01-09: alchemist, dazzle, life stealer, magnataur, rubick, skeleton king, storm spirit, sven, tidehunter, witch doctor
2021-01-10: crystal maiden, dark willow, drow ranger, enchantress, juggernaut, monkey king, nevermore, sven, tinker, wisp
2021-01-11: bloodseeker, medusa, meepo, queenofpain, skeleton king, spectre, tusk, viper, weaver, windrunner
2021-01-12: ancient apparition, crystal maiden, faceless void, invoker, legion commander, necrolyte, omniknight, rattletrap, sand king, skeleton king
2021-01-13: beastmaster, bounty hunter, ember spirit, legion commander, nevermore, nyx assassin, oracle, phantom assassin, rattletrap, storm spirit
2021-01-14: earth spirit, huskar, jakiro, meepo, obsidian destroyer, ogre magi, phoenix, skywrath mage, treant, troll warlord
2021-01-15: earthshaker, ember spirit, jakiro, leshrac, lich, queenofpain, shredder, slark, tinker, vengefulspirit
2021-01-16: centaur, chen, earth spirit, ember spirit, jakiro, medusa, phantom lancer, slardar, slark, templar assassin
2021-01-17: broodmother, crystal maiden, earth spirit, luna, morphling, ogre magi, silencer, skywrath mage, spirit breaker, venomancer
2021-01-18: bristleback, chen, dazzle, enchantress, gyrocopter, invoker, legion commander, phoenix, queenofpain, undying
2021-01-19: bane, bounty hunter, broodmother, centaur, drow ranger, invoker, juggernaut, oracle, shadow demon, zuus
2021-01-20: chen, dark seer, ogre magi, oracle, pangolier, puck, shadow demon, undying, warlock, winter wyvern
2021-01-21: ancient apparition, death prophet, ember spirit, legion commander, pudge, tidehunter, tinker, tusk, undying, winter wyvern
2021-01-22: antimage, bounty hunter, faceless void, life stealer, meepo, nyx assassin, phantom assassin, pudge, shredder, tusk
2021-01-23: abyssal underlord, beastmaster, broodmother, chaos knight, dragon knight, elder titan, rubick, vengefulspirit, wisp, witch doctor
2021-01-24: alchemist, bloodseeker, clinkz, dazzle, disruptor, elder titan, naga siren, nyx assassin, skeleton king, tusk
2021-01-25: broodmother, furion, huskar, luna, morphling, puck, slark, tusk, visage, winter wyvern
2021-01-26: ancient apparition, drow ranger, life stealer, magnataur, rubick, skeleton king, sniper, spirit breaker, techies, venomancer
2021-01-27: bloodseeker, broodmother, chen, clinkz, elder titan, kunkka, necrolyte, tidehunter, tiny, wisp
2021-01-28: batrider, chen, earth spirit, enchantress, furion, jakiro, juggernaut, magnataur, rattletrap, tusk
2021-01-29: antimage, bristleback, dark seer, earth spirit, enigma, nyx assassin, ogre magi, rattletrap, shredder, storm spirit
2021-01-30: abaddon, ancient apparition, arc warden, bounty hunter, keeper of the light, lich, medusa, oracle, visage, weaver
2021-01-31: ancient apparition, earthshaker, furion, juggernaut, kunkka, night stalker, nyx assassin, ogre magi, silencer, zuus
2021-02-01: centaur, faceless void, leshrac, lich, magnataur, pugna, silencer, skywrath mage, tidehunter, witch doctor
2021-02-02: abaddon, antimage, axe, beastmaster, magnataur, nyx assassin, tiny, vengefulspirit, viper, witch doctor
2021-02-03: dark seer, drow ranger, furion, mirana, naga siren, obsidian destroyer, ogre magi, pugna, skywrath mage, ursa
2021-02-04: earthshaker, ember spirit, jakiro, leshrac, mirana, phantom assassin, slardar, slark, warlock, wisp
2021-02-05: bloodseeker, dark seer, death prophet, dragon knight, drow ranger, elder titan, jakiro, medusa, pugna, techies
2021-02-06: brewmaster, clinkz, mirana, naga siren, nyx assassin, phantom assassin, slark, techies, tinker, tiny
2021-02-07: earth spirit, huskar, lich, luna, mirana, nevermore, pudge, slardar, tusk, vengefulspirit
2021-02-08: juggernaut, lich, mirana, obsidian destroyer, sand king, silencer, tidehunter, tiny, undying, wisp
2021-02-09: bristleback, chen, disruptor, doom bringer, ember spirit, huskar, meepo, pugna, rubick, vengefulspirit
2021-02-10: batrider, dark seer, ember spirit, invoker, leshrac, lion, monkey king, phoenix, pudge, silencer
2021-02-11: bounty hunter, earthshaker, naga siren, necrolyte, night stalker, nyx assassin, pugna, razor, sand king, storm spirit
2021-02-12: beastmaster, bounty hunter, brewmaster, dark willow, dazzle, pangolier, phantom assassin, shadow shaman, slardar, weaver
2021-02-13: bristleback, dark willow, drow ranger, earthshaker, life stealer, naga siren, oracle, rattletrap, sand king, tinker
2021-02-14: abaddon, alchemist, bristleback, monkey king, night stalker, queenofpain, rubick, sand king, silencer, skywrath mage
2021-02-15: batrider, brewmaster, bristleback, crystal maiden, death prophet, enchantress, enigma, rattletrap, riki, terrorblade
2021-02-16: ancient apparition, dragon knight, jakiro, legion commander, morphling, obsidian destroyer, phoenix, pudge, razor, rubick
2021-02-17: centaur, disruptor, enchantress, medusa, meepo, nevermore, razor, terrorblade, tusk, viper
2021-02-18: broodmother, dark willow, invoker, keeper of the light, lone druid, meepo, obsidian destroyer, shredder, sven, treant
2021-02-19: bane, beastmaster, huskar, keeper of the light, kunkka, legion commander, luna, obsidian destroyer, oracle, pugna
2021-02-20: abyssal underlord, bane, bloodseeker, juggernaut, luna, lycan, magnataur, shadow shaman, tusk, undying
2021-02-21: axe, chen, dazzle, lich, lycan, morphling, queenofpain, shadow shaman, sven, viper
2021-02-22: axe, beastmaster, dragon knight, invoker, meepo, monkey king, necrolyte, obsidian destroyer, phantom lancer, sniper
2021-02-23: antimage, axe, dark seer, disruptor, elder titan, juggernaut, lich, riki, tusk, winter wyvern
2021-02-24: arc warden, axe, dazzle, elder titan, necrolyte, oracle, phoenix, templar assassin, tinker, visage
2021-02-25: bane, dark willow, drow ranger, obsidian destroyer, queenofpain, shredder, storm spirit, viper, visage, weaver
2021-02-26: dark seer, keeper of the light, magnataur, puck, skeleton king, tusk, vengefulspirit, visage, windrunner, winter wyvern
2021-02-27: antimage, earthshaker, invoker, lich, meepo, obsidian destroyer, shredder, slardar, vengefulspirit, visage
2021-02-28: antimage, chaos knight, chen, dark seer, keeper of the light, nyx assassin, pangolier, silencer, tinker, tusk
2021-03-01: antimage, gyrocopter, keeper of the light, life stealer, lone druid, naga siren, nyx assassin, techies, tidehunter, witch doctor
2021-03-02: bloodseeker, gyrocopter, huskar, monkey king, omniknight, phoenix, puck, pudge, viper, wisp
2021-03-03: alchemist, bounty hunter, chaos knight, dragon knight, invoker, lion, sand king, skeleton king, slark, troll warlord
2021-03-04: axe, death prophet, earth spirit, gyrocopter, lich, naga siren, shadow demon, skywrath mage, viper, wisp
2021-03-05: bane, batrider, bounty hunter, clinkz, furion, huskar, life stealer, night stalker, pangolier, vengefulspirit
2021-03-06: axe, beastmaster, broodmother, chen, faceless void, invoker, nevermore, sand king, terrorblade, viper
2021-03-07: abyssal underlord, bristleback, ember spirit, invoker, necrolyte, phantom assassin, queenofpain, rattletrap, slark, templar assassin
2021-03-08: centaur, dark willow, luna, necrolyte, oracle, queenofpain, spectre, spirit breaker, winter wyvern, wisp
2021-03-09: abaddon, ancient apparition, elder titan, morphling, obsidian destroyer, skywrath mage, tinker, venomancer, windrunner, wisp
2021-03-10: arc warden, chaos knight, dragon knight, furion, legion commander, lone druid, naga siren, spirit breaker, tidehunter, witch doctor
2021-03-11: abyssal underlord, batrider, naga siren, phoenix, pugna, rubick, silencer, tinker, undying, winter wyvern
2021-03-12: antimage, axe, brewmaster, drow ranger, faceless void, lich, phantom assassin, silencer, wisp, zuus
2021-03-13: axe, beastmaster, dark seer, ember spirit, meepo, necrolyte, storm spirit, terrorblade, ursa, windrunner
